Date;hour;air_temp;W
31-janv-21;4;4;W
31-janv-21;5;5;W
31-janv-21;6;4;W
31-janv-21;7;4;W
31-janv-21;8;4;W
31-janv-21;9;4;W
31-janv-21;10;4;W
31-janv-21;11;4;W
31-janv-21;12;4;W
31-janv-21;13;3;W
31-janv-21;14;3;W
31-janv-21;15;3;W
31-janv-21;16;3;W
31-janv-21;17;3;W
31-janv-21;18;3;W
31-janv-21;19;3;W
31-janv-21;20;3;W
31-janv-21;21;3;W
31-janv-21;22;2;W
31-janv-21;23;2;W
01-FEB-2021;0;2;W
01-FEB-2021;1;2;W
01-FEB-2021;2;2;W
01-FEB-2021;3;2;W
01-FEB-2021;4;2;W
01-FEB-2021;5;2;W
01-FEB-2021;6;2;W
01-FEB-2021;7;2;W
01-FEB-2021;8;2;W
01-FEB-2021;9;3;W
01-FEB-2021;10;4;W
01-FEB-2021;11;4;W
01-FEB-2021;12;5;W
01-FEB-2021;13;6;W
01-FEB-2021;14;6;W
01-FEB-2021;15;7;W
01-FEB-2021;16;7;W
01-FEB-2021;17;8;W
01-FEB-2021;18;8;W
01-FEB-2021;19;8;W
01-FEB-2021;20;8;W
01-FEB-2021;21;8;W
01-FEB-2021;22;8;W
01-FEB-2021;23;8;W
02-FEB-2021;0;7;W
02-FEB-2021;1;7;W
02-FEB-2021;2;7;W
02-FEB-2021;3;7;W
02-FEB-2021;4;7;W
02-FEB-2021;5;7;W
02-FEB-2021;6;7;W
02-FEB-2021;7;7;W
02-FEB-2021;8;7;W
02-FEB-2021;9;7;W
02-FEB-2021;10;7;W
02-FEB-2021;11;8;W
02-FEB-2021;12;8;W
02-FEB-2021;13;8;W
02-FEB-2021;14;8;W
02-FEB-2021;15;8;W
02-FEB-2021;16;8;W
02-FEB-2021;17;8;W
02-FEB-2021;18;8;W
02-FEB-2021;19;8;W
02-FEB-2021;20;8;W
02-FEB-2021;21;8;W
02-FEB-2021;22;8;W
02-FEB-2021;23;8;W
03-FEB-2021;0;7;W
03-FEB-2021;1;7;W
03-FEB-2021;2;7;W
03-FEB-2021;3;7;W
03-FEB-2021;4;7;W
03-FEB-2021;5;7;W
03-FEB-2021;6;6;W
03-FEB-2021;7;6;W
03-FEB-2021;8;6;W
03-FEB-2021;9;6;W
03-FEB-2021;10;6;W
03-FEB-2021;11;6;W
03-FEB-2021;12;6;W
03-FEB-2021;13;6;W
03-FEB-2021;14;6;W
03-FEB-2021;15;6;W
03-FEB-2021;16;6;W
03-FEB-2021;17;5;W
03-FEB-2021;18;5;W
03-FEB-2021;19;5;W
03-FEB-2021;20;5;W
03-FEB-2021;21;5;W
03-FEB-2021;22;5;W
03-FEB-2021;23;5;W
04-FEB-2021;0;6;W
04-FEB-2021;1;6;W
04-FEB-2021;2;6;W
04-FEB-2021;3;6;W
04-FEB-2021;4;6;W
04-FEB-2021;5;6;W
04-FEB-2021;6;6;W
04-FEB-2021;7;6;W
04-FEB-2021;8;6;W
04-FEB-2021;9;6;W
04-FEB-2021;10;6;W
04-FEB-2021;11;6;W
04-FEB-2021;12;7;W
04-FEB-2021;13;7;W
04-FEB-2021;14;7;W
04-FEB-2021;15;7;W
04-FEB-2021;16;5;W
04-FEB-2021;17;3;W
04-FEB-2021;18;3;W
04-FEB-2021;19;3;W
04-FEB-2021;20;3;W
04-FEB-2021;21;2;W
04-FEB-2021;22;2;W
04-FEB-2021;23;2;W
05-FEB-2021;0;2;WE
05-FEB-2021;1;2;WE
05-FEB-2021;2;1;WE
05-FEB-2021;3;1;WE
05-FEB-2021;4;1;WE
05-FEB-2021;5;1;WE
05-FEB-2021;6;1;WE
05-FEB-2021;7;1;WE
05-FEB-2021;8;2;WE
05-FEB-2021;9;3;WE
05-FEB-2021;10;4;WE
05-FEB-2021;11;4;WE
05-FEB-2021;12;5;WE
05-FEB-2021;13;6;WE
05-FEB-2021;14;6;WE
05-FEB-2021;15;6;WE
05-FEB-2021;16;5;WE
05-FEB-2021;17;5;WE
05-FEB-2021;18;5;WE
05-FEB-2021;19;5;WE
05-FEB-2021;20;6;WE
05-FEB-2021;21;6;WE
05-FEB-2021;22;6;WE
05-FEB-2021;23;6;WE
06-FEB-2021;0;6;WE
06-FEB-2021;1;5;WE
06-FEB-2021;2;6;WE
06-FEB-2021;3;6;WE
06-FEB-2021;4;6;WE
06-FEB-2021;5;6;WE
06-FEB-2021;6;6;WE
06-FEB-2021;7;6;WE
06-FEB-2021;8;6;WE
06-FEB-2021;9;6;WE
06-FEB-2021;10;6;WE
06-FEB-2021;11;7;WE
06-FEB-2021;12;7;WE
06-FEB-2021;13;7;WE
06-FEB-2021;14;7;WE
06-FEB-2021;15;7;WE
06-FEB-2021;16;7;WE
06-FEB-2021;17;6;WE
06-FEB-2021;18;6;WE
06-FEB-2021;19;5;WE
06-FEB-2021;20;4;WE
06-FEB-2021;21;4;WE
06-FEB-2021;22;4;WE
06-FEB-2021;23;4;WE
07-FEB-2021;0;3;W
07-FEB-2021;1;2;W
07-FEB-2021;2;2;W
07-FEB-2021;3;2;W
07-FEB-2021;4;2;W
07-FEB-2021;5;2;W
07-FEB-2021;6;2;W
07-FEB-2021;7;2;W
07-FEB-2021;8;2;W
07-FEB-2021;9;3;W
07-FEB-2021;10;4;W
07-FEB-2021;11;5;W
07-FEB-2021;12;5;W
07-FEB-2021;13;6;W
07-FEB-2021;14;6;W
07-FEB-2021;15;6;W
07-FEB-2021;16;5;W
07-FEB-2021;17;4;W
07-FEB-2021;18;3;W
07-FEB-2021;19;3;W
07-FEB-2021;20;3;W
07-FEB-2021;21;3;W
07-FEB-2021;22;4;W
07-FEB-2021;23;4;W
08-FEB-2021;0;4;W
08-FEB-2021;1;4;W
08-FEB-2021;2;5;W
08-FEB-2021;3;5;W
08-FEB-2021;4;5;W
08-FEB-2021;5;6;W
08-FEB-2021;6;6;W
08-FEB-2021;7;6;W
08-FEB-2021;8;7;W
08-FEB-2021;9;7;W
08-FEB-2021;10;8;W
08-FEB-2021;11;8;W
08-FEB-2021;12;8;W
08-FEB-2021;13;8;W
08-FEB-2021;14;8;W
08-FEB-2021;15;8;W
08-FEB-2021;16;8;W
08-FEB-2021;17;8;W
08-FEB-2021;18;8;W
08-FEB-2021;19;8;W
08-FEB-2021;20;8;W
08-FEB-2021;21;8;W
08-FEB-2021;22;8;W
08-FEB-2021;23;7;W
09-FEB-2021;0;7;W
09-FEB-2021;1;7;W
09-FEB-2021;2;7;W
09-FEB-2021;3;7;W
09-FEB-2021;4;7;W
09-FEB-2021;5;7;W
09-FEB-2021;6;7;W
09-FEB-2021;7;7;W
09-FEB-2021;8;7;W
09-FEB-2021;9;8;W
09-FEB-2021;10;9;W
09-FEB-2021;11;9;W
09-FEB-2021;12;10;W
09-FEB-2021;13;10;W
09-FEB-2021;14;11;W
09-FEB-2021;15;10;W
09-FEB-2021;16;9;W
09-FEB-2021;17;7;W
09-FEB-2021;18;6;W
09-FEB-2021;19;5;W
09-FEB-2021;20;5;W
09-FEB-2021;21;4;W
09-FEB-2021;22;4;W
09-FEB-2021;23;4;W
10-FEB-2021;0;4;W
10-FEB-2021;1;3;W
10-FEB-2021;2;3;W
10-FEB-2021;3;4;W
10-FEB-2021;4;4;W
10-FEB-2021;5;4;W
10-FEB-2021;6;4;W
10-FEB-2021;7;4;W
10-FEB-2021;8;5;W
10-FEB-2021;9;6;W
10-FEB-2021;10;6;W
10-FEB-2021;11;6;W
10-FEB-2021;12;6;W
10-FEB-2021;13;6;W
10-FEB-2021;14;6;W
10-FEB-2021;15;6;W
10-FEB-2021;16;6;W
10-FEB-2021;17;5;W
10-FEB-2021;18;5;W
10-FEB-2021;19;4;W
10-FEB-2021;20;3;W
10-FEB-2021;21;3;W
10-FEB-2021;22;2;W
10-FEB-2021;23;2;W
11-FEB-2021;0;2;W
11-FEB-2021;1;2;W
11-FEB-2021;2;1;W
11-FEB-2021;3;1;W
11-FEB-2021;4;2;W
11-FEB-2021;5;2;W
11-FEB-2021;6;2;W
11-FEB-2021;7;2;W
11-FEB-2021;8;3;W
11-FEB-2021;9;3;W
11-FEB-2021;10;4;W
11-FEB-2021;11;5;W
11-FEB-2021;12;5;W
11-FEB-2021;13;5;W
11-FEB-2021;14;5;W
11-FEB-2021;15;5;W
11-FEB-2021;16;4;W
11-FEB-2021;17;3;W
11-FEB-2021;18;2;W
11-FEB-2021;19;0;W
11-FEB-2021;20;-1;W
11-FEB-2021;21;-2;W
